Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Yoga duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020197686512,,,,87.0,91.0,85.0,,,,1,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020197686512,,,,84.0,86.0,82.0,,,,1,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020197686512,,,,86.25,92.0,81.0,,,,1,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020197686512,,,,79.75,82.0,77.0,,,,1,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020197686512,,,,78.75,80.0,77.0,,,,1,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020197686512,,,,77.5,81.0,70.0,,,,1,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020197686512,,,,79.5,81.0,79.0,,,,1,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020197686512,,,,74.75,78.0,67.0,,,,1,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020197686512,,,,75.25,79.0,66.0,,,,1,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020197686512,,,,72.25,73.0,72.0,,,,1,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020197686512,,,,76.0,78.0,74.0,,,,1,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020197686512,,,,82.5,91.0,73.0,,,,1,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020197686512,,,,74.75,76.0,71.0,,,,1,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020197686512,,,,73.75,78.0,72.0,,,,1,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020197686512,,,,76.0,81.0,74.0,,,,1,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020197686512,,,,77.75,83.0,74.0,,,,1,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020197686512,,,,75.0,76.0,73.0,,,,1,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020197686512,,,,73.5,77.0,70.0,,,,1,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020197686512,,,,72.5,74.0,71.0,,,,1,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020197686512,,,,73.25,76.0,69.0,,,,1,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020197686512,,,,71.25,72.0,71.0,,,,1,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020197686512,,,,72.5,75.0,71.0,,,,1,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020197686512,,,,72.25,77.0,70.0,,,,1,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020197686512,,,,74.0,75.0,71.0,,,,1,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513020197686512,,,,80.25,81.0,80.0,,,,24,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,1,13.513020197686512,20.898169226731305,,,81.5,88.0,75.0,,,,71,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,15,24.04354566183286,328.96218233576866,,,93.0,93.0,93.0,0.6047098636627197,0.6047098636627197,0.6047098636627197,1002,,,,356000,
06:45:00.000+05:30,07:00:00.000+05:30,15,87.74524902461093,631.686689878285,8.0,8,101.5,131.0,90.0,0.30358725786209106,0.6071745157241821,0.0,1403,,,,384000,499000
07:00:00.000+05:30,07:15:00.000+05:30,15,126.91204588910134,1120.697896749522,15.0,15,138.25,141.0,134.0,1.2452198266983032,1.2452198266983032,1.2452198266983032,1726,,,,,900000
07:15:00.000+05:30,07:30:00.000+05:30,15,100.83027008567727,987.9923327919925,11.0,11,131.75,141.0,126.0,0.604130208492279,0.604130208492279,0.604130208492279,1559,,,,,693000
07:30:00.000+05:30,07:45:00.000+05:30,3,13.51302065682278,89.53330454107693,,,91.25,132.0,77.0,,,,208,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.51302065682278,,,,,,,,,,52,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,10,13.513019888566351,339.13925294280074,,,80.75,90.0,73.0,,,,643,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,15,13.513019433259377,540.1300445384867,,,82.75,84.0,81.0,,,,994,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,15,13.513019433259377,540.1300445384867,,,79.0,84.0,70.0,0.6001445055007935,0.6001445055007935,0.6001445055007935,994,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,15,13.513019433259377,540.1300445384867,,,75.0,78.0,71.0,,,,994,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,9,13.513020041182457,329.23086734798915,,,75.75,87.0,70.0,,,,617,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,13.513020990200118,,,,82.0,86.0,72.0,,,,28,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,13.513020990200118,,,,78.75,84.0,71.0,,,,28,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.513020990200118,,,,71.75,74.0,65.0,,,,28,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,6,13.513020429039393,206.66507067719417,,,70.25,79.0,66.0,,,,398,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,15,13.513019437950314,571.6647670739289,,,74.0,77.0,66.0,,,,1052,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,15,13.513019437950314,571.6647670739289,,,74.0,76.0,70.0,0.6351830959320068,0.6351830959320068,0.6351830959320068,1052,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,15,13.513019437950314,571.6647670739289,,,75.25,77.0,70.0,,,,1052,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,10,13.513019627560768,367.10088200726875,,,77.25,89.0,73.0,,,,752,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,13.513019967826915,,,,69.25,76.0,65.0,,,,212,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,13.513019967826915,,,,74.0,76.0,70.0,,,,212,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,13.513019967826915,,,,75.25,81.0,70.0,,,,212,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,13.513019967826915,,,,83.75,89.0,75.0,,,,212,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,13.513019967826915,,,,79.75,86.0,73.0,,,,212,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,13.513019967826915,,,,77.5,89.0,71.0,,,,212,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,13.513019967826915,,,,72.0,84.0,68.0,,,,212,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,13.513019967826915,,,,78.0,101.0,68.0,,,,212,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,13.513019967826915,,,,92.75,96.0,87.0,,,,212,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,13.513020260278633,,,,92.5,94.0,90.0,,,,239,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,13.513020520037061,,,,77.5,80.0,72.0,,,,263,,,,,
