Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Yoga duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020588885066,,,,73.25,85.0,68.0,,,,0,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020588885066,,,,78.5,82.0,74.0,,,,0,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020588885066,,,,69.5,71.0,69.0,,,,0,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020588885066,,,,71.5,74.0,70.0,,,,0,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020588885066,,,,74.25,77.0,69.0,,,,0,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020588885066,,,,83.25,87.0,76.0,,,,0,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020588885066,,,,73.25,77.0,68.0,,,,0,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020588885066,,,,71.75,84.0,67.0,,,,0,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020588885066,,,,70.25,72.0,69.0,,,,0,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020588885066,,,,71.25,74.0,70.0,,,,0,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020588885066,,,,67.0,67.0,67.0,,,,0,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020588885066,,,,65.5,70.0,62.0,,,,0,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020588885066,,,,66.75,69.0,65.0,,,,0,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020588885066,,,,65.25,68.0,64.0,,,,0,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020588885066,,,,63.75,65.0,62.0,,,,0,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020588885066,,,,67.75,71.0,66.0,,,,0,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020588885066,,,,66.0,68.0,65.0,,,,0,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020588885066,,,,67.25,68.0,67.0,,,,0,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020588885066,,,,64.75,66.0,64.0,,,,0,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020588885066,,,,67.5,69.0,66.0,,,,0,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020588885066,,,,69.0,71.0,65.0,,,,0,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020588885066,,,,69.25,70.0,67.0,,,,0,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020588885066,,,,72.75,95.0,64.0,,,,0,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020588885066,,,,67.0,69.0,66.0,,,,0,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,3,13.51302051675533,49.83823147427175,,,94.5,100.0,89.0,,,,92,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,15,13.513020226897016,250.11658874973273,,,,,,0.2779073119163513,0.2779073119163513,0.2779073119163513,460,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,15,70.17185705732383,701.1761652850064,10.0,5,73.0,73.0,73.0,,,,1101,,,,306000,,
06:45:00.000+05:30,07:00:00.000+05:30,15,169.60256092229943,1492.7787063989106,28.0,14,169.5,173.0,166.0,1.7519582509994507,1.7519582509994507,1.7519582509994507,2223,,,,843000,,
07:00:00.000+05:30,07:15:00.000+05:30,15,35.094739435563206,93.31761827274245,,,135.0,172.0,82.0,0.2785600423812866,0.2785600423812866,0.2785600423812866,460,,,,,565000,
07:15:00.000+05:30,07:30:00.000+05:30,15,47.890979883192735,0.0,,,88.5,98.0,85.0,0.0,0.0,0.0,460,,,,,900000,
07:30:00.000+05:30,07:45:00.000+05:30,15,16.41604826839582,229.0042576871416,,,90.75,100.0,86.0,,,,460,,,,,76000,
07:45:00.000+05:30,08:00:00.000+05:30,15,13.513020595186397,250.12600960974208,,,90.25,100.0,76.0,0.2779177725315094,0.2779177725315094,0.2779177725315094,460,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,6,13.513020595186397,101.61619266405381,,,86.5,95.0,79.0,,,,198,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.513020595186397,,,,75.0,77.0,73.0,,,,18,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.513020595186397,,,,80.25,102.0,69.0,,,,18,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,13.513020595186397,,,,84.0,88.0,76.0,,,,18,,,,,,
