Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms),Running duration (ms)
12:45:00.000+05:30,13:00:00.000+05:30,,13.513020420436726,,,,,,,,,,1,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,13.513020862159191,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,9,117.17578191094847,901.7955112219452,18.0,9,,,,,,,1361,,,,,540000
17:00:00.000+05:30,17:15:00.000+05:30,11,140.78785504894083,1107.2044887780548,22.0,11,162.0,162.0,162.0,4.084995865821838,6.5,1.6699917316436768,1671,,,,,663000
17:15:00.000+05:30,17:30:00.000+05:30,,13.513020057059398,,,,108.5,110.0,107.0,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,13.513020057059398,,,,84.0,84.0,84.0,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,13.513020057059398,,,,,,,,,,,,,,,
