Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
13:15:00.000+05:30,13:30:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,13.513021090147245,,,,,,,,,,7,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,13.513021090147245,,,,,,,,,,15,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,13.513021090147245,,,,,,,,,,73,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,13.513021090147245,,,,,,,,,,73,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,13.513021090147245,,,,,,,,,,73,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,13.513021090147245,,,,83.50071071735448,84.0,83.0,,,,31,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,13.513021090147245,,,,,,,,,,24,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,13.513021090147245,,,,,,,,,,10,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,13.513021090147245,,,,83.0,83.0,83.0,,,,0,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,13.513021090147245,,,,,,,,,,0,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,13.513021090147245,,,,,,,,,,2,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,13.513021090147245,,,,,,,,,,2,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,13.513021090147245,,,,,,,,,,2,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,13.513021090147245,,,,,,,,,,2,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,13.513021090147245,,,,,,,,,,2,,,,
19:15:00.000+05:30,19:30:00.000+05:30,,13.513021090147245,,,,,,,,,,2,,,,
19:30:00.000+05:30,19:45:00.000+05:30,,13.513021090147245,,,,,,,,,,2,,,,
19:45:00.000+05:30,20:00:00.000+05:30,,13.51302108081508,,,,,,,,,,2,,,,
20:00:00.000+05:30,20:15:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,13.513020251677762,,,,,,,,,,,,,,
