Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020476103058,,,,78.5,83.0,72.0,,,,6,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020476103058,,,,80.25,98.0,69.0,,,,6,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020476103058,,,,73.75,76.0,70.0,,,,6,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020476103058,,,,69.0,70.0,67.0,,,,6,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020476103058,,,,71.5,74.0,68.0,,,,6,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020476103058,,,,72.5,73.0,71.0,,,,6,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020476103058,,,,75.25,78.0,71.0,,,,6,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020476103058,,,,77.5,81.0,71.0,,,,6,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020476103058,,,,77.25,78.0,75.0,,,,6,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020476103058,,,,80.25,99.0,72.0,,,,6,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020476103058,,,,76.75,83.0,74.0,,,,6,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020476103058,,,,76.0,79.0,73.0,,,,6,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020476103058,,,,76.5,77.0,75.0,,,,6,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020476103058,,,,69.25,72.0,67.0,,,,6,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020476103058,,,,74.0,78.0,71.0,,,,6,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020476103058,,,,85.0,86.0,83.0,,,,6,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020476103058,,,,71.25,73.0,68.0,,,,6,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020476103058,,,,66.0,71.0,63.0,,,,6,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020476103058,,,,65.75,67.0,65.0,,,,6,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020476103058,,,,71.5,72.0,71.0,,,,6,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020476103058,,,,71.75,73.0,71.0,,,,6,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020476103058,,,,71.25,73.0,70.0,,,,6,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020476103058,,,,72.5,93.0,65.0,,,,6,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020476103058,,,,65.0,69.0,61.0,,,,6,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513020476103058,,,,74.25,77.0,73.0,,,,6,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.513020476103058,,,,72.0,73.0,70.0,,,,6,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.513020476103058,,,,70.5,72.0,67.0,,,,6,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.513020476103058,,,,67.25,72.0,64.0,,,,6,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.513020476103058,,,,84.0,88.0,74.0,,,,6,,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.513020476103058,,,,84.0,99.0,75.0,,,,6,,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.513020476103058,,,,73.25,75.0,71.0,,,,6,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.513020476103058,,,,78.5,84.0,69.0,,,,6,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.513020476103058,,,,66.25,68.0,65.0,,,,6,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.513020476103058,,,,68.5,73.0,65.0,,,,6,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.513020476103058,,,,68.75,79.0,64.0,,,,6,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,,13.513020476103058,,,,74.5,83.0,64.0,,,,6,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,13,13.513020476103058,424.15079643893597,,,70.0,77.0,63.0,0.5364162921905518,0.5364162921905518,0.5364162921905518,782,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,15,39.51354692102443,650.8731064746949,4.0,4,82.0,82.0,82.0,,,,1101,,,,,285000
09:30:00.000+05:30,09:45:00.000+05:30,15,95.61994609164421,1013.6118598382749,15.0,15,99.75,115.0,80.0,,,,1559,,,,,900000
09:45:00.000+05:30,10:00:00.000+05:30,15,95.61994609164421,1013.6118598382749,15.0,15,117.0,126.0,113.0,,,,1559,,,,,900000
10:00:00.000+05:30,10:15:00.000+05:30,15,95.61994609164421,1013.6118598382749,15.0,15,114.0,127.0,108.0,1.1262353658676147,1.1262353658676147,1.1262353658676147,1559,,,,,900000
10:15:00.000+05:30,10:30:00.000+05:30,15,95.61994609164421,1013.6118598382749,15.0,15,114.75,123.0,109.0,,,,1559,,,,,900000
10:30:00.000+05:30,10:45:00.000+05:30,10,65.24038371444031,638.5754716981132,9.0,9,116.5,123.0,111.0,,,,1002,,,,,567000
10:45:00.000+05:30,11:00:00.000+05:30,,13.513020747849922,,,,104.0,117.0,67.0,,,,55,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,13,13.513020747849922,391.109354230908,,,68.25,75.0,64.0,,,,727,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,15,13.513020747849922,450.78012051739705,,,75.75,81.0,70.0,,,,830,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,15,13.513020747849922,450.78012051739705,,,76.5,89.0,72.0,0.5008667707443237,0.5008667707443237,0.5008667707443237,830,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,15,13.513020747849922,450.78012051739705,,,83.5,92.0,79.0,,,,830,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,15,13.513020747849922,759.1928399682528,8.0,8,79.75,81.0,78.0,,,,1285,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,15,13.513020747849922,991.8234269629658,15.0,15,91.5,97.0,79.0,,,,1628,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,15,13.513020747849922,991.8234269629658,15.0,15,113.75,148.0,71.0,1.1020259857177734,1.1020259857177734,1.1020259857177734,1628,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,15,13.513020747849922,991.8234269629658,15.0,15,70.0,73.0,67.0,,,,1628,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,15,13.513020747849922,705.0591172766009,6.0,6,86.75,100.0,82.0,,,,1210,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,15,13.513020747849922,478.721152153617,,,85.25,89.0,82.0,,,,881,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,15,13.513020747849922,478.721152153617,,,89.0,94.0,87.0,0.5319123864173889,0.5319123864173889,0.5319123864173889,881,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,15,13.513020747849922,478.721152153617,,,83.25,94.0,74.0,,,,881,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,15,13.513020747849922,703.4745574623453,7.0,7,89.75,93.0,86.0,,,,1221,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,15,13.513020747849922,917.5878827037361,15.0,15,83.0,89.0,81.0,,,,1544,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,15,13.513020747849922,917.5878827037361,15.0,15,101.0,135.0,83.0,1.0195420980453491,1.0195420980453491,1.0195420980453491,1544,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,15,13.513020747849922,917.5878827037361,15.0,15,80.25,86.0,76.0,,,,1544,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,15,13.513020747849922,809.1944355262709,10.0,10,78.0,81.0,77.0,,,,1385,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,15,13.513020747849922,535.2371912886521,,,80.5,86.0,76.0,,,,985,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,15,13.513020747849922,535.2371912886521,,,83.0,86.0,80.0,0.5947080254554749,0.5947080254554749,0.5947080254554749,985,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,15,13.513020747849922,535.2371912886521,,,80.75,89.0,77.0,,,,985,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,15,13.513020747849922,1013.615930368401,8.0,4,73.5,77.0,71.0,,,,1528,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,15,13.513020747849922,2292.403402911271,30.0,15,96.5,103.0,87.0,2.547114849090576,2.547114849090576,2.547114849090576,2978,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,15,111.73083593160281,1844.4745753758211,30.0,15,92.5,150.0,73.0,,,,2574,,,,513000,
16:45:00.000+05:30,17:00:00.000+05:30,15,185.8249772105743,1506.563354603464,30.0,15,158.25,163.0,156.0,,,,2268,,,,900000,
17:00:00.000+05:30,17:15:00.000+05:30,15,185.8249772105743,1506.563354603464,30.0,15,165.5,168.0,164.0,,,,2268,,,,900000,
17:15:00.000+05:30,17:30:00.000+05:30,15,185.8249772105743,1506.563354603464,30.0,15,164.25,166.0,163.0,,,,2268,,,,900000,
17:30:00.000+05:30,17:45:00.000+05:30,15,185.8249772105743,1506.563354603464,30.0,15,164.25,167.0,162.0,1.6739592552185059,1.6739592552185059,1.6739592552185059,2268,,,,900000,
17:45:00.000+05:30,18:00:00.000+05:30,15,185.8249772105743,1506.563354603464,30.0,15,163.5,166.0,162.0,,,,2268,,,,900000,
18:00:00.000+05:30,18:15:00.000+05:30,15,185.8249772105743,1506.563354603464,30.0,15,165.25,166.0,164.0,,,,2268,,,,900000,
18:15:00.000+05:30,18:30:00.000+05:30,15,141.5982415412308,1709.893031609539,30.0,15,159.0,164.0,155.0,,,,2453,,,,669000,
18:30:00.000+05:30,18:45:00.000+05:30,15,13.51302005728798,2298.75690138038,30.0,15,108.25,163.0,85.0,,,,2987,,,,,
