Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020643655976,,,,81.0,88.0,78.0,,,,6,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020643655976,,,,76.0,76.0,76.0,,,,6,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020643655976,,,,76.5,79.0,71.0,,,,6,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020643655976,,,,74.25,76.0,73.0,,,,6,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020643655976,,,,84.5,89.0,78.0,,,,6,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020643655976,,,,79.25,80.0,78.0,,,,6,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020643655976,,,,78.5,83.0,73.0,,,,6,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020643655976,,,,73.0,74.0,72.0,,,,6,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020643655976,,,,78.5,93.0,72.0,,,,6,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020643655976,,,,75.0,79.0,73.0,,,,6,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020643655976,,,,75.25,76.0,75.0,,,,6,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020643655976,,,,74.75,75.0,74.0,,,,6,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020643655976,,,,79.25,97.0,72.0,,,,6,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020643655976,,,,71.25,75.0,69.0,,,,6,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020643655976,,,,75.75,79.0,70.0,,,,6,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020643655976,,,,68.75,70.0,68.0,,,,6,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020643655976,,,,70.25,71.0,69.0,,,,6,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020643655976,,,,74.0,75.0,73.0,,,,6,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020643655976,,,,73.0,75.0,69.0,,,,6,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020643655976,,,,72.75,74.0,70.0,,,,6,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020643655976,,,,71.5,73.0,68.0,,,,6,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020643655976,,,,71.25,72.0,71.0,,,,6,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020643655976,,,,70.75,71.0,70.0,,,,6,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020643655976,,,,76.75,83.0,67.0,,,,6,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513020643655976,,,,64.0,69.0,60.0,,,,6,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.513020643655976,,,,82.25,89.0,75.0,,,,6,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.513020643655976,,,,74.25,79.0,70.0,,,,6,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.513020643655976,,,,84.0,99.0,72.0,,,,6,,,,,
07:00:00.000+05:30,07:15:00.000+05:30,6,47.00190052234561,507.43846562882544,8.0,6,78.0,78.0,78.0,1.126551670358232,1.1678321361541748,1.0699104070663452,788,,,,134000,143000
07:15:00.000+05:30,07:30:00.000+05:30,15,170.44863505941356,1138.7759279425404,18.0,15,166.5,172.0,162.0,1.4376372694969177,1.774647831916809,1.1006267070770264,1748,,,,150000,693000
07:30:00.000+05:30,07:45:00.000+05:30,15,187.32558139534885,1051.7441860465117,15.0,15,170.25,174.0,169.0,1.1686046123504639,1.1686046123504639,1.1686046123504639,1622,,,,,900000
07:45:00.000+05:30,08:00:00.000+05:30,15,38.03990382925089,1360.1837433869146,23.0,15,138.75,168.0,79.0,1.7436808347702026,1.7436808347702026,1.7436808347702026,1989,,,,,127000
08:00:00.000+05:30,08:15:00.000+05:30,15,13.513020192906211,1692.9342671925488,20.0,15,82.0,82.0,82.0,2.19956374168396,3.117640256881714,1.281487226486206,2403,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,15,13.513020192906211,1415.985559059326,10.0,5,77.75,83.0,74.0,,,,2092,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,15,13.513020313205917,727.5502603183171,,,83.25,96.0,73.0,0.861994206905365,0.861994206905365,0.861994206905365,1295,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,15,13.513020899397151,492.46607859332164,,,79.25,81.0,75.0,,,,906,,,,,
