Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Yoga duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513021578055355,,,,77.0,80.0,70.0,,,,15,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513021578055355,,,,70.75,73.0,68.0,,,,15,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513021578055355,,,,77.0,92.0,72.0,,,,15,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513021578055355,,,,78.0,82.0,68.0,,,,15,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513021578055355,,,,70.75,73.0,70.0,,,,15,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513021578055355,,,,68.75,87.0,62.0,,,,15,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513021578055355,,,,67.0,68.0,66.0,,,,15,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513021578055355,,,,69.25,70.0,69.0,,,,15,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513021578055355,,,,76.0,91.0,69.0,,,,15,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513021578055355,,,,78.0,83.0,67.0,,,,15,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513021578055355,,,,74.25,81.0,71.0,,,,15,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513021578055355,,,,74.25,77.0,72.0,,,,15,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513021578055355,,,,73.0,77.0,68.0,,,,15,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513021578055355,,,,73.25,76.0,71.0,,,,15,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513021578055355,,,,73.0,75.0,69.0,,,,15,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513021578055355,,,,71.0,72.0,70.0,,,,15,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513021578055355,,,,72.5,75.0,71.0,,,,15,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513021578055355,,,,60.5,63.0,57.0,,,,15,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513021578055355,,,,71.0,75.0,69.0,,,,15,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513021578055355,,,,71.5,72.0,70.0,,,,15,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513021578055355,,,,72.5,73.0,72.0,,,,15,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513021578055355,,,,68.5,72.0,66.0,,,,15,,,,,
