Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020710260244,,,,80.25,84.0,77.0,,,,23,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020710260244,,,,78.25,79.0,77.0,,,,23,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020710260244,,,,78.75,79.0,78.0,,,,23,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020710260244,,,,78.5,82.0,77.0,,,,23,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020710260244,,,,77.0,79.0,73.0,,,,23,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020710260244,,,,79.0,83.0,75.0,,,,23,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020710260244,,,,80.25,89.0,76.0,,,,23,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020710260244,,,,72.25,73.0,71.0,,,,23,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020710260244,,,,74.5,79.0,71.0,,,,23,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020710260244,,,,72.0,73.0,71.0,,,,23,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020710260244,,,,79.75,94.0,73.0,,,,23,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020710260244,,,,72.75,75.0,69.0,,,,23,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020710260244,,,,71.25,74.0,69.0,,,,23,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020710260244,,,,70.0,71.0,68.0,,,,23,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020710260244,,,,71.5,72.0,71.0,,,,23,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020710260244,,,,70.5,72.0,70.0,,,,23,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020710260244,,,,72.0,73.0,71.0,,,,23,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020710260244,,,,70.5,72.0,68.0,,,,23,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020710260244,,,,69.0,71.0,67.0,,,,23,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020710260244,,,,67.25,71.0,66.0,,,,23,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020710260244,,,,80.5,90.0,69.0,,,,23,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020710260244,,,,67.5,68.0,67.0,,,,23,,,,,
