Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Yoga duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020280175441,,,,75.5,77.0,72.0,,,,5,,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020280175441,,,,75.0,77.0,73.0,,,,5,,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020280175441,,,,74.75,81.0,72.0,,,,5,,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020280175441,,,,76.25,80.0,75.0,,,,5,,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020280175441,,,,75.75,77.0,74.0,,,,5,,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020280175441,,,,75.25,78.0,74.0,,,,5,,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020280175441,,,,72.0,74.0,71.0,,,,5,,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020280175441,,,,74.0,75.0,73.0,,,,5,,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020280175441,,,,75.25,77.0,73.0,,,,5,,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020280175441,,,,77.75,85.0,67.0,,,,5,,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020280175441,,,,81.0,96.0,74.0,,,,5,,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020280175441,,,,74.25,77.0,72.0,,,,5,,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020280175441,,,,73.0,75.0,72.0,,,,5,,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020280175441,,,,73.25,74.0,72.0,,,,5,,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020280175441,,,,72.5,74.0,71.0,,,,5,,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020280175441,,,,70.5,71.0,70.0,,,,5,,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020280175441,,,,72.25,73.0,71.0,,,,5,,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020280175441,,,,69.75,70.0,69.0,,,,5,,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020280175441,,,,74.5,78.0,66.0,,,,5,,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020280175441,,,,74.0,74.0,74.0,,,,5,,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020280175441,,,,71.25,74.0,70.0,,,,5,,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020280175441,,,,70.0,74.0,66.0,,,,5,,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020280175441,,,,70.25,71.0,68.0,,,,5,,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020280175441,,,,89.25,101.0,74.0,,,,5,,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513020280175441,,,,90.5,99.0,82.0,,,,5,,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,12,13.513020884486348,335.643946632232,,,,,,,,,619,,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,15,119.31466468073859,1196.7796839608077,20.0,10,132.0,166.0,98.0,1.741991400718689,1.741991400718689,1.741991400718689,1825,,,,609000,,
06:45:00.000+05:30,07:00:00.000+05:30,15,108.3696670349705,1116.4502967943986,18.0,9,148.75,168.0,111.0,0.4670141935348511,0.4670141935348511,0.4670141935348511,1716,,,,546000,,
07:00:00.000+05:30,07:15:00.000+05:30,15,68.76648951810508,100.87506553248356,,,123.0,150.0,110.0,0.0,0.0,0.0,774,,,,,684000,
07:15:00.000+05:30,07:30:00.000+05:30,10,61.980975845339216,0.0,,,124.5,127.0,122.0,,,,483,,,,,600000,
07:30:00.000+05:30,07:45:00.000+05:30,,13.513020993961579,,,,82.0,82.0,82.0,,,,67,,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.513020993961579,,,,,,,,,,67,,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,12,13.5130201404265,377.59454325193997,,,88.5,89.0,88.0,,,,708,,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,15,13.513019942771166,465.035091508233,,,73.75,77.0,72.0,,,,856,,,,,,
08:30:00.000+05:30,08:45:00.000+05:30,15,13.513019942771166,465.035091508233,,,73.0,80.0,69.0,0.5167056918144226,0.5167056918144226,0.5167056918144226,856,,,,,,
08:45:00.000+05:30,09:00:00.000+05:30,15,13.513019942771166,465.035091508233,,,73.75,74.0,73.0,,,,856,,,,,,
09:00:00.000+05:30,09:15:00.000+05:30,4,13.513019942771166,117.30665194992346,,,73.0,74.0,72.0,,,,258,,,,,,
09:15:00.000+05:30,09:30:00.000+05:30,,13.513019942771166,,,,86.25,96.0,70.0,,,,57,,,,,,
09:30:00.000+05:30,09:45:00.000+05:30,,13.513019942771166,,,,81.25,94.0,77.0,,,,57,,,,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.513019942771166,,,,73.75,81.0,66.0,,,,57,,,,,,
10:00:00.000+05:30,10:15:00.000+05:30,11,13.513020326635255,573.7559412550913,,,71.5,76.0,70.0,,,,1024,,,,,,
10:15:00.000+05:30,10:30:00.000+05:30,15,13.513020477118012,798.6802823785341,,,70.5,72.0,69.0,0.887422502040863,0.887422502040863,0.887422502040863,1404,,,,,,
10:30:00.000+05:30,10:45:00.000+05:30,15,13.513020477118012,814.1688178018369,2.0,2,84.0,91.0,77.0,1.0470422506332397,1.0470422506332397,1.0470422506332397,1422,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,15,13.513019957778459,561.0679679557471,,,67.75,71.0,62.0,,,,1026,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,15,13.513019937355027,546.074227828243,,,68.25,73.0,63.0,,,,1005,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,15,13.513019937355027,546.074227828243,,,72.25,88.0,65.0,0.6067491769790649,0.6067491769790649,0.6067491769790649,1005,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,15,13.513019937355027,546.074227828243,,,76.75,91.0,64.0,,,,1005,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,15,13.51302071773999,269.17503238136516,,,73.25,77.0,70.0,,,,495,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,15,13.513020758008546,254.88678826352393,,,68.0,77.0,63.0,0.2832075357437134,0.2832075357437134,0.2832075357437134,469,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,15,24.5978400213005,352.07023999432363,2.0,2,81.25,89.0,72.0,,,,609,,,,,,118000
12:30:00.000+05:30,12:45:00.000+05:30,15,89.50979013366295,920.9240964176003,13.0,13,113.75,117.0,109.0,0.693651020526886,1.106796145439148,0.280505895614624,1427,,,,,,809000
12:45:00.000+05:30,13:00:00.000+05:30,15,95.24909405932584,625.4591250512749,24.0,12,106.25,158.0,76.0,2.6240475413782343,5.253432750701904,0.0,5078,,,,,617000,
13:00:00.000+05:30,13:15:00.000+05:30,15,13.513019839720508,548.666483343645,,,110.5,155.0,95.0,,,,1010,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,15,13.513019839720508,548.666483343645,,,96.0,101.0,85.0,0.6096294522285461,0.6096294522285461,0.6096294522285461,1010,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,15,13.513019839720508,548.666483343645,,,93.5,99.0,83.0,,,,1010,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,15,13.513019839720508,548.666483343645,,,79.75,99.0,73.0,,,,1010,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,15,13.51301956942784,657.7760010673318,,,80.75,84.0,79.0,,,,1210,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,15,13.513019554365536,663.8562277304889,,,77.0,80.0,72.0,,,,1222,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,15,13.513019554365536,663.8562277304889,,,76.5,83.0,71.0,0.7376180291175842,0.7376180291175842,0.7376180291175842,1222,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,15,13.513019554365536,663.8562277304889,,,85.25,92.0,77.0,,,,1222,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,15,13.513019804212735,594.3042269633596,,,73.5,78.0,72.0,,,,1094,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,15,13.513019831814946,586.6203752727995,,,85.5,89.0,83.0,,,,1080,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,15,13.513019831814946,586.6203752727995,,,79.25,85.0,77.0,0.6518004536628723,0.6518004536628723,0.6518004536628723,1080,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,15,13.513019831814946,586.6203752727995,,,76.0,77.0,75.0,,,,1080,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,15,13.513020913365349,671.2797797649326,,,87.0,120.0,76.0,,,,1235,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,15,13.513021047542496,681.782625894367,,,80.5,94.0,71.0,,,,1255,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,15,13.513021047542496,681.782625894367,,,80.5,91.0,75.0,0.7575362324714661,0.7575362324714661,0.7575362324714661,1255,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,15,13.513021047542496,681.782625894367,,,75.75,78.0,73.0,,,,1255,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,15,13.513020755747823,1226.7216579793583,26.0,13,72.0,78.0,69.0,,,,1867,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,15,13.513020715359541,1302.148497876613,30.0,15,91.25,96.0,81.0,,,,1951,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,15,13.513020715359541,1302.148497876613,30.0,15,95.25,102.0,77.0,1.4468315839767456,1.4468315839767456,1.4468315839767456,1951,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,15,13.513020715359541,1302.148497876613,30.0,15,80.25,94.0,58.0,,,,1951,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,15,13.513020190731869,764.2122695067312,4.0,2,85.0,100.0,74.0,,,,1347,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,15,13.513020110347247,681.7884804336225,,,76.75,81.0,71.0,,,,1255,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,15,13.513020110347247,681.7884804336225,,,82.5,93.0,67.0,0.7575427889823914,0.7575427889823914,0.7575427889823914,1255,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,15,13.513020110347247,681.7884804336225,,,73.25,75.0,72.0,,,,1255,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,15,13.513021004237245,1712.3398177715885,26.0,13,72.25,78.0,69.0,,,,2300,,,,,,
19:15:00.000+05:30,19:30:00.000+05:30,15,13.513021154668197,1885.769231726099,30.0,15,87.0,90.0,81.0,2.095299005508423,2.095299005508423,2.095299005508423,2476,,,,,,
19:30:00.000+05:30,19:45:00.000+05:30,15,13.513021154668197,1885.769231726099,30.0,15,94.0,101.0,85.0,,,,2476,,,,,,
19:45:00.000+05:30,20:00:00.000+05:30,15,13.513020861858385,1600.370450019483,23.0,15,84.25,88.0,79.0,,,,2219,,,,,,
20:00:00.000+05:30,20:15:00.000+05:30,15,13.513020533596412,1280.4168066626335,15.0,15,87.25,104.0,79.0,,,,1930,,,,,,
20:15:00.000+05:30,20:30:00.000+05:30,15,13.513020533596412,1280.4168066626335,15.0,15,91.75,111.0,84.0,1.4226853847503662,1.4226853847503662,1.4226853847503662,1930,,,,,,
20:30:00.000+05:30,20:45:00.000+05:30,15,13.513020533596412,1280.4168066626335,15.0,15,87.25,95.0,80.0,,,,1930,,,,,,
20:45:00.000+05:30,21:00:00.000+05:30,15,13.513019851805481,1353.5970197852193,22.0,15,84.25,87.0,79.0,,,,2001,,,,,,
21:00:00.000+05:30,21:15:00.000+05:30,15,13.513019053758482,1439.2556092381365,30.0,15,95.75,99.0,92.0,,,,2083,,,,,,
21:15:00.000+05:30,21:30:00.000+05:30,15,13.513019053758482,1439.2556092381365,30.0,15,88.5,119.0,73.0,1.599172830581665,1.599172830581665,1.599172830581665,2083,,,,,,
21:30:00.000+05:30,21:45:00.000+05:30,15,13.513019053758482,1439.2556092381365,30.0,15,83.25,87.0,77.0,,,,2083,,,,,,
21:45:00.000+05:30,22:00:00.000+05:30,15,13.513019053758482,1939.6463362531517,30.0,15,81.25,82.0,80.0,,,,2640,,,,,,
22:00:00.000+05:30,22:15:00.000+05:30,15,13.513019053758482,2583.194683151325,30.0,15,83.5,91.0,78.0,2.8702163696289062,2.8702163696289062,2.8702163696289062,3356,,,,,,
22:15:00.000+05:30,22:30:00.000+05:30,15,13.513019053758482,2406.7153668408623,29.0,15,83.5,88.0,76.0,,,,3166,,,,,,
22:30:00.000+05:30,22:45:00.000+05:30,15,13.513019053758482,1250.6792554764402,15.0,15,74.75,79.0,72.0,,,,1900,,,,,,
22:45:00.000+05:30,23:00:00.000+05:30,15,13.513019053758482,1250.6792554764402,15.0,15,80.25,82.0,77.0,,,,1900,,,,,,
23:00:00.000+05:30,23:15:00.000+05:30,15,13.513019053758482,1250.6792554764402,15.0,15,87.75,96.0,78.0,1.389643669128418,1.389643669128418,1.389643669128418,1900,,,,,,
23:15:00.000+05:30,23:30:00.000+05:30,15,13.513019053758482,1250.6792554764402,15.0,15,78.75,80.0,77.0,,,,1900,,,,,,
23:30:00.000+05:30,23:45:00.000+05:30,11,13.513018985794805,876.7150409400471,10.0,10,74.25,76.0,73.0,,,,1332,,,,,,
23:45:00.000+05:30,00:00:00.000+05:30,,13.513018826461975,,,,75.0,76.0,74.0,,,,,,,,,,
