Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Inactive duration (ms),Walking duration (ms),Running duration (ms),Yoga duration (ms),Other duration (ms),Paced walking duration (ms)
2022-01-03,995,1844.9934653586251,157687.95922851562,1294.0,784,82.93205574912892,177.0,64.0,2.6141733019764146,7.6829514503479,0.48836517333984375,216416,,,,,,1553000,,1661000,
2022-01-04,995,1970.9275888934496,152262.71593093872,1731.0,938,84.1423076923077,178.0,58.0,2.5868279313590503,5.545051574707031,0.6255786418914795,204706,,,,,,1789000,,1829000,
2022-01-05,1022,1893.1437766036422,155791.97785949707,1411.0,832,83.73170731707317,176.0,59.0,2.7103538897362607,7.600771427154541,0.5201952457427979,214536,,,,,,1719000,,1818000,
2022-01-06,999,1899.0057312751285,151459.8998413086,1432.0,779,81.86759581881533,172.0,59.0,2.7829837589995288,7.649661064147949,0.2591933012008667,206004,,,,,,1802000,,1944000,
2022-01-07,938,2092.702958655118,109091.98643493652,977.0,737,83.92156862745098,174.0,57.0,1.8204918599011317,6.58626127243042,0.39366328716278076,159047,,,,,,2973000,,1659000,
2022-01-08,990,2001.6635362274326,120548.25668525696,1398.0,752,83.26655052264809,174.0,60.0,2.1421823451304896,6.42322301864624,0.29089802503585815,165039,,,,,,2039000,,1863000,
2022-01-09,853,2420.0711078248355,95060.21759033203,1155.0,639,87.61672473867596,178.0,63.0,1.9664697160497628,7.522911071777344,0.38817837834358215,133368,,,,,,3506000,,4365000,
2022-01-10,868,1794.4391372750533,69433.2638130188,738.0,429,80.38327526132404,169.0,58.0,1.417600767976077,5.3587727546691895,0.0,104182,,,,2792,,1712585,253000,,25362
2022-01-11,711,1960.4266974241111,45151.207458496094,399.0,274,82.75435540069687,162.0,61.0,1.0756297641497952,5.1566643714904785,0.0,76936,,,,,,1744000,954000,2019000,
2022-01-12,601,1799.4777009384024,27790.68622493744,183.0,183,82.72473867595819,141.0,65.0,0.8009743537185148,1.387069582939148,0.0,53451,,,,,,,740000,3907000,
2022-01-13,545,1668.251809681741,32856.53011929989,249.0,139,83.51393728222996,168.0,64.0,1.168116181276323,5.044005870819092,0.0,57207,,,,,,596000,1060000,1674000,
2022-01-14,676,1843.2371329702582,98779.60241699219,998.0,510,85.42508710801394,169.0,56.0,2.1812336659838163,6.388639450073242,0.0,138649,,,,,,2900000,1097000,,
2022-01-15,921,1369.5898948059082,22058.803337097168,8.0,5,80.15679442508711,160.0,57.0,0.5546291595730511,3.6977956295013428,0.0,41454,,,,,,144000,899000,,
2022-01-16,282,2692.3536304694308,35102.00151824951,321.0,161,89.00522648083624,170.0,61.0,1.440189181505475,5.266300678253174,0.6169076561927795,53821,,,,,,5886000,,2499000,
2022-01-17,834,1696.5488099480676,49959.928466796875,591.0,456,86.04006968641114,157.0,56.0,0.9280876246177173,2.8195159435272217,0.3749575912952423,81879,,,,,,898000,,1946000,
2022-01-18,2,1297.2500124354538,77.53812408447266,,,100.68466898954703,134.0,70.0,1.6913472414016724,1.6913472414016724,1.6913472414016724,2860,,,,,,,,,
2022-01-19,991,1627.7231865208225,84050.54851150513,983.0,518,80.50871080139373,155.0,61.0,1.6208298020840757,4.974957466125488,0.3713698089122772,120257,,,,,,,,3232000,
2022-01-20,276,1513.9748229491515,9414.924013137817,,,78.25087108013938,131.0,63.0,0.5894463621963886,1.0297647714614868,0.48413944244384766,20971,,,,,,,,2083000,
2022-01-21,47,1548.5547128195076,3013.0,46.0,46,79.72996515679442,125.0,63.0,1.0849838256835938,1.0849838256835938,1.0849838256835938,10961,,,,,,,,2777000,
2022-01-22,36,1506.1339425040737,2199.0,,,76.22473867595819,133.0,59.0,1.0280505418777466,1.0280505418777466,1.0280505418777466,3652,,,,,,,,2139000,
2022-01-23,244,2018.4202198073808,23923.0478515625,351.0,176,79.59233449477352,171.0,55.0,2.0260652223534943,2.5172529220581055,0.4682513177394867,44043,,,,,,3785000,,,
2022-01-24,395,1855.367244211819,40788.80457305908,452.0,265,80.53484320557492,146.0,63.0,1.9288022157743665,4.935573577880859,0.0,63988,,,,,,,956000,4764000,
2022-01-25,787,2263.007588391867,73292.30630683899,829.0,565,84.93554006968641,168.0,59.0,1.7719921088441688,4.996955394744873,0.0,112647,,,,,,2925000,1297000,2854000,
2022-01-26,241,1415.0105092947729,7254.3330078125,,,76.76829268292683,127.0,58.0,0.48456872142786817,0.748516321182251,0.46978577971458435,19346,,,,,,,,1348000,
2022-01-27,11,1297.249991838011,400.9269104003906,,,73.06620209059234,121.0,56.0,0.5830926299095154,0.5830926299095154,0.5830926299095154,7741,,,,,,,,,
2022-01-28,492,1381.5567924595482,12015.500244140625,14.0,14,73.77003484320558,138.0,55.0,0.39037123595422085,1.112938642501831,0.2799256145954132,26724,,,,,,,,912000,
2022-01-29,299,1402.5419018542498,11940.56332397461,,,74.40940766550523,116.0,50.0,0.6512917773027161,1.0561797618865967,0.5612727403640747,27923,,,,,,,,1246000,
2022-01-30,607,2433.6856004045735,49125.86608886719,630.0,352,86.37630662020906,172.0,60.0,1.7110089028314457,5.415172576904297,0.2779432535171509,72859,,,,,,5832000,,,
2022-01-31,874,1599.873142394614,43337.050669550896,129.0,111,78.80139372822299,155.0,60.0,1.2795590635204672,6.518033027648926,0.0,76368,,,,,,,942000,1947000,
2022-02-01,872,1537.6748367743583,51270.39291572571,383.0,228,80.77351916376307,128.0,61.0,1.3173359717890132,7.578782558441162,0.0,83963,,,,,,,1063000,1706000,
2022-02-02,904,2223.4636089237615,57459.59481048584,589.0,339,86.83449477351917,167.0,61.0,1.1132109127097813,4.9826178550720215,0.0,91004,,,,,,3629000,970000,1714000,
2022-02-03,933,1519.6503068613251,31506.28476715088,27.0,27,80.15505226480836,165.0,55.0,0.5422504757734393,1.178885579109192,0.2832070589065552,60385,,,,,,,,1705000,
2022-02-04,952,2746.9151769028695,83655.36497306824,903.0,534,90.30313588850174,174.0,60.0,1.6004283402226949,6.441157817840576,0.4443190395832062,123164,,,,,,5922000,,2359000,
2022-02-05,614,1637.095883169498,34980.30078125,285.0,205,82.4390243902439,127.0,61.0,1.0761778239162618,5.62717866897583,0.3003271222114563,56164,,,,,,,,3740000,
2022-02-06,870,2963.580329998196,94088.41595458984,1119.0,657,88.4581881533101,168.0,61.0,1.8958295618887155,7.029021739959717,0.5008667707443237,132674,,,,,,6582000,,4452000,
2022-02-07,900,2005.61017692658,65070.48500061035,731.0,384,81.40418118466899,173.0,62.0,1.5103387999905389,5.324097633361816,0.0,93409,,,,,,1149000,1541000,8009000,
2022-02-08,945,1770.4473117850516,58711.56637573242,624.0,386,82.18815331010452,168.0,58.0,1.1084164352394754,5.253432750701904,0.0,98037,,,,,,1155000,1901000,927000,
2022-02-09,977,1527.605750551724,45535.12035751343,272.0,247,82.69686411149826,174.0,62.0,0.9182951427739913,6.27946662902832,0.0,81154,,,,,,743000,1584000,380000,
2022-02-10,583,1568.221543220431,24559.236206054688,60.0,52,79.71951219512195,169.0,63.0,0.7964357304064138,1.7513043880462646,0.0,50270,,,,,,575000,1609000,815000,
2022-02-11,622,2498.908057617398,52005.652435302734,584.0,330,84.89895470383276,170.0,58.0,1.232576863607255,5.264909267425537,0.4435407817363739,76483,,,,,,6350000,,,
2022-02-12,3,557.0548109884326,101.58988189697266,,,75.42342342342343,102.0,61.0,0.6378870010375977,0.6378870010375977,0.6378870010375977,660,,,,,,,,,
