Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.51302131530264,,,,71.75,74.0,69.0,,,,10,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.51302131530264,,,,67.0,72.0,64.0,,,,10,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.51302131530264,,,,70.75,73.0,66.0,,,,10,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.51302131530264,,,,74.5,81.0,65.0,,,,10,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.51302131530264,,,,71.5,73.0,69.0,,,,10,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.51302131530264,,,,77.5,86.0,69.0,,,,10,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.51302131530264,,,,71.0,72.0,70.0,,,,10,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.51302131530264,,,,69.75,71.0,68.0,,,,10,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.51302131530264,,,,69.25,70.0,67.0,,,,10,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.51302131530264,,,,67.75,75.0,64.0,,,,10,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.51302131530264,,,,67.0,72.0,64.0,,,,10,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.51302131530264,,,,71.25,74.0,67.0,,,,10,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.51302131530264,,,,71.75,76.0,66.0,,,,10,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.51302131530264,,,,67.25,70.0,61.0,,,,10,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.51302131530264,,,,68.75,73.0,64.0,,,,10,,,,,
