Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg)
00:00:00.000+05:30,00:15:00.000+05:30,,13.51302104453935,,,,78.0,81.0,75.0,,,,6,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.51302104453935,,,,79.0,85.0,71.0,,,,6,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.51302104453935,,,,73.0,75.0,72.0,,,,6,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.51302104453935,,,,75.25,82.0,73.0,,,,6,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.51302104453935,,,,71.5,75.0,69.0,,,,6,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.51302104453935,,,,72.0,74.0,71.0,,,,6,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.51302104453935,,,,77.25,80.0,73.0,,,,6,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.51302104453935,,,,84.0,94.0,78.0,,,,6,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.51302104453935,,,,78.75,81.0,72.0,,,,6,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.51302104453935,,,,76.25,77.0,76.0,,,,6,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.51302104453935,,,,86.75,97.0,75.0,,,,6,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.51302104453935,,,,80.75,86.0,70.0,,,,6,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.51302104453935,,,,72.25,73.0,71.0,,,,6,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.51302104453935,,,,77.25,82.0,67.0,,,,6,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.51302104453935,,,,77.5,79.0,76.0,,,,6,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.51302104453935,,,,75.0,77.0,74.0,,,,6,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.51302104453935,,,,77.25,78.0,76.0,,,,6,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.51302104453935,,,,82.75,102.0,75.0,,,,6,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.51302104453935,,,,70.75,72.0,68.0,,,,6,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.51302104453935,,,,70.5,73.0,69.0,,,,6,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.51302104453935,,,,86.25,99.0,72.0,,,,6,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.51302104453935,,,,73.75,77.0,70.0,,,,6,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.51302104453935,,,,73.75,76.0,70.0,,,,6,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.51302104453935,,,,72.5,76.0,64.0,,,,6,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.51302104453935,,,,70.75,74.0,69.0,,,,6,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.51302104453935,,,,80.0,93.0,67.0,,,,6,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.51302104453935,,,,71.25,74.0,67.0,,,,6,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.51302104453935,,,,71.75,81.0,68.0,,,,6,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.51302104453935,,,,77.5,95.0,71.0,,,,6,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.51302104453935,,,,79.25,83.0,71.0,,,,6,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.51302104453935,,,,67.5,71.0,65.0,,,,6,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.51302104453935,,,,66.0,67.0,65.0,,,,6,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.51302104453935,,,,64.0,68.0,61.0,,,,6,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.51302104453935,,,,73.25,86.0,67.0,,,,11,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.51302104453935,,,,74.5,87.0,69.0,,,,46,,,
08:45:00.000+05:30,09:00:00.000+05:30,,13.51302104453935,,,,72.0,72.0,72.0,,,,46,,,
09:00:00.000+05:30,09:15:00.000+05:30,1,13.51302104453935,16.8434059493254,,,94.0,94.0,94.0,,,,76,,,
09:15:00.000+05:30,09:30:00.000+05:30,2,13.513019411702272,84.74647594764726,,,79.5,80.0,79.0,0.6378870010375977,0.6378870010375977,0.6378870010375977,186,,,
09:30:00.000+05:30,09:45:00.000+05:30,,13.513019128925784,,,,,,,,,,35,,,
09:45:00.000+05:30,10:00:00.000+05:30,,13.513019128925784,,,,,,,,,,35,,,
10:00:00.000+05:30,10:15:00.000+05:30,,13.513019128925784,,,,,,,,,,35,,,
10:15:00.000+05:30,10:30:00.000+05:30,,3.0209555419969494,,,,,,,,,,8,,,
10:30:00.000+05:30,10:45:00.000+05:30,,,,,,,,,,,,,,,
10:45:00.000+05:30,11:00:00.000+05:30,,,,,,,,,,,,,,,
11:00:00.000+05:30,11:15:00.000+05:30,,,,,,,,,,,,,,,
11:15:00.000+05:30,11:30:00.000+05:30,,,,,,,,,,,,,,,
11:30:00.000+05:30,11:45:00.000+05:30,,,,,,,,,,,,,,,
11:45:00.000+05:30,12:00:00.000+05:30,,,,,,,,,,,,,,,
12:00:00.000+05:30,12:15:00.000+05:30,,,,,,,,,,,,,,,
12:15:00.000+05:30,12:30:00.000+05:30,,,,,,,,,,,,,,,
12:30:00.000+05:30,12:45:00.000+05:30,,,,,,,,,,,,,,,
12:45:00.000+05:30,13:00:00.000+05:30,,,,,,,,,,,,,,,
13:00:00.000+05:30,13:15:00.000+05:30,,,,,,,,,,,,,,,
13:15:00.000+05:30,13:30:00.000+05:30,,,,,,,,,,,,,,,
13:30:00.000+05:30,13:45:00.000+05:30,,,,,,,,,,,,,,,
13:45:00.000+05:30,14:00:00.000+05:30,,,,,,,,,,,,,,,
14:00:00.000+05:30,14:15:00.000+05:30,,,,,,,,,,,,,,,
14:15:00.000+05:30,14:30:00.000+05:30,,,,,,,,,,,,,,,
14:30:00.000+05:30,14:45:00.000+05:30,,,,,,,,,,,,,,,
14:45:00.000+05:30,15:00:00.000+05:30,,,,,,,,,,,,,,,
15:00:00.000+05:30,15:15:00.000+05:30,,,,,,,,,,,,,,,
15:15:00.000+05:30,15:30:00.000+05:30,,,,,,,,,,,,,,,
15:30:00.000+05:30,15:45:00.000+05:30,,,,,,,,,,,,,,,
15:45:00.000+05:30,16:00:00.000+05:30,,,,,,,,,,,,,,,
16:00:00.000+05:30,16:15:00.000+05:30,,,,,,,,,,,,,,,
16:15:00.000+05:30,16:30:00.000+05:30,,,,,,,,,,,,,,,
16:30:00.000+05:30,16:45:00.000+05:30,,,,,,,,,,,,,,,
16:45:00.000+05:30,17:00:00.000+05:30,,,,,,,,,,,,,,,
17:00:00.000+05:30,17:15:00.000+05:30,,,,,,,,,,,,,,,
17:15:00.000+05:30,17:30:00.000+05:30,,,,,,,,,,,,,,,
17:30:00.000+05:30,17:45:00.000+05:30,,,,,,,,,,,,,,,
17:45:00.000+05:30,18:00:00.000+05:30,,,,,,,,,,,,,,,
18:00:00.000+05:30,18:15:00.000+05:30,,,,,,,,,,,,,,,
18:15:00.000+05:30,18:30:00.000+05:30,,,,,,,,,,,,,,,
18:30:00.000+05:30,18:45:00.000+05:30,,,,,,,,,,,,,,,
18:45:00.000+05:30,19:00:00.000+05:30,,,,,,,,,,,,,,,
19:00:00.000+05:30,19:15:00.000+05:30,,,,,,,,,,,,,,,
