Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020438205949,,,,87.0,95.0,83.0,,,,8,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020438205949,,,,83.75,95.0,78.0,,,,8,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020438205949,,,,86.75,97.0,82.0,,,,8,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020438205949,,,,84.75,86.0,83.0,,,,8,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020438205949,,,,82.5,86.0,78.0,,,,8,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020438205949,,,,77.75,80.0,71.0,,,,8,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020438205949,,,,79.5,89.0,74.0,,,,8,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020438205949,,,,86.0,90.0,76.0,,,,8,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020438205949,,,,76.75,78.0,74.0,,,,8,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020438205949,,,,79.5,85.0,77.0,,,,8,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020438205949,,,,74.75,77.0,71.0,,,,8,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020438205949,,,,74.5,76.0,72.0,,,,8,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020438205949,,,,75.75,77.0,74.0,,,,8,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020438205949,,,,78.5,80.0,75.0,,,,8,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020438205949,,,,77.25,80.0,76.0,,,,8,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020438205949,,,,71.25,75.0,66.0,,,,8,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020438205949,,,,76.25,78.0,73.0,,,,8,,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020438205949,,,,72.5,75.0,69.0,,,,8,,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020438205949,,,,71.5,77.0,69.0,,,,8,,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020438205949,,,,71.5,74.0,68.0,,,,8,,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020438205949,,,,73.75,76.0,69.0,,,,8,,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020438205949,,,,75.75,77.0,74.0,,,,8,,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020438205949,,,,66.75,79.0,56.0,,,,8,,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020438205949,,,,81.0,100.0,70.0,,,,8,,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513020438205949,,,,87.25,89.0,82.0,,,,8,,,,,
06:15:00.000+05:30,06:30:00.000+05:30,13,13.513019545914817,305.9147655586975,,,84.25,94.0,75.0,,,,564,,,,,
06:30:00.000+05:30,06:45:00.000+05:30,15,13.513019453898474,337.46182150579784,,,76.0,90.0,70.0,0.3749575912952423,0.3749575912952423,0.3749575912952423,621,,,,,
06:45:00.000+05:30,07:00:00.000+05:30,15,42.61499432149672,513.4898256089373,3.0,3,80.25,85.0,74.0,,,,868,,,,,218000
07:00:00.000+05:30,07:15:00.000+05:30,15,133.65878725590957,1064.1829393627957,15.0,15,147.25,157.0,120.0,1.1824254989624023,1.1824254989624023,1.1824254989624023,1641,,,,,900000
07:15:00.000+05:30,07:30:00.000+05:30,15,124.04712599511335,1011.3624632483271,13.0,13,119.5,127.0,113.0,,,,1569,,,,,828000
07:30:00.000+05:30,07:45:00.000+05:30,15,13.513021495956773,403.9269879319406,,,117.5,123.0,112.0,0.4488077461719513,0.4488077461719513,0.4488077461719513,744,,,,,
07:45:00.000+05:30,08:00:00.000+05:30,15,13.51302040151378,361.2926097490307,,,80.0,80.0,80.0,,,,665,,,,,
08:00:00.000+05:30,08:15:00.000+05:30,15,13.51301979898515,337.8209135155551,,,72.5,78.0,68.0,,,,622,,,,,
08:15:00.000+05:30,08:30:00.000+05:30,15,13.51301979898515,337.8209135155551,,,80.5,83.0,76.0,0.3753565847873688,0.3753565847873688,0.3753565847873688,622,,,,,
