Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020723439173,,,,72.0,75.0,69.0,,,,1,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020723439173,,,,71.5,73.0,71.0,,,,1,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020723439173,,,,75.25,78.0,73.0,,,,1,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020723439173,,,,73.75,77.0,68.0,,,,1,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020723439173,,,,74.0,78.0,72.0,,,,1,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020723439173,,,,68.75,74.0,67.0,,,,1,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020723439173,,,,72.75,78.0,71.0,,,,1,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020723439173,,,,77.5,78.0,77.0,,,,1,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020723439173,,,,71.75,76.0,67.0,,,,1,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020723439173,,,,77.75,82.0,69.0,,,,1,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020723439173,,,,70.0,73.0,65.0,,,,1,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020723439173,,,,68.25,69.0,67.0,,,,1,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020723439173,,,,70.5,71.0,69.0,,,,1,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020723439173,,,,78.0,101.0,69.0,,,,1,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020723439173,,,,73.5,79.0,67.0,,,,1,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020723439173,,,,65.25,71.0,62.0,,,,1,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020723439173,,,,67.5,71.0,65.0,,,,1,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.513020723439173,,,,66.5,67.0,66.0,,,,1,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.513020723439173,,,,66.25,69.0,65.0,,,,1,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.513020723439173,,,,66.25,68.0,65.0,,,,1,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.513020723439173,,,,67.25,68.0,65.0,,,,1,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.513020723439173,,,,70.0,72.0,69.0,,,,1,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.513020723439173,,,,68.25,75.0,63.0,,,,1,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.513020723439173,,,,69.5,70.0,69.0,,,,1,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.513020723439173,,,,87.0,96.0,67.0,,,,1,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.513020723439173,,,,65.25,70.0,62.0,,,,1,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.513020723439173,,,,65.75,68.0,65.0,,,,1,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.513020723439173,,,,67.0,70.0,66.0,,,,1,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.513020723439173,,,,66.0,72.0,63.0,,,,1,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.513020723439173,,,,67.75,73.0,64.0,,,,1,,,,
