Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms),Other duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.513020464991513,,,,75.75,83.0,73.0,,,,2,,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.513020464991513,,,,81.75,83.0,79.0,,,,2,,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.513020464991513,,,,82.0,85.0,81.0,,,,2,,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.513020464991513,,,,77.75,79.0,76.0,,,,2,,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.513020464991513,,,,75.75,77.0,74.0,,,,2,,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.513020464991513,,,,77.0,79.0,76.0,,,,2,,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.513020464991513,,,,78.0,79.0,77.0,,,,2,,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.513020464991513,,,,76.25,77.0,76.0,,,,2,,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.513020464991513,,,,79.5,82.0,77.0,,,,2,,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.513020464991513,,,,75.25,82.0,71.0,,,,2,,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.513020464991513,,,,76.0,79.0,71.0,,,,2,,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.513020464991513,,,,77.25,79.0,76.0,,,,2,,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.513020464991513,,,,80.0,81.0,79.0,,,,2,,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.513020464991513,,,,76.5,78.0,76.0,,,,2,,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.513020464991513,,,,76.75,78.0,73.0,,,,2,,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.513020464991513,,,,75.5,78.0,72.0,,,,2,,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.513020464991513,,,,75.5,80.0,72.0,,,,2,,,,,
