Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Running duration (ms)
00:00:00.000+05:30,00:15:00.000+05:30,,13.51302075428529,,,,76.75,80.0,75.0,,,,15,,,,
00:15:00.000+05:30,00:30:00.000+05:30,,13.51302075428529,,,,78.75,80.0,77.0,,,,15,,,,
00:30:00.000+05:30,00:45:00.000+05:30,,13.51302075428529,,,,77.25,82.0,75.0,,,,15,,,,
00:45:00.000+05:30,01:00:00.000+05:30,,13.51302075428529,,,,81.75,93.0,77.0,,,,15,,,,
01:00:00.000+05:30,01:15:00.000+05:30,,13.51302075428529,,,,77.0,87.0,73.0,,,,15,,,,
01:15:00.000+05:30,01:30:00.000+05:30,,13.51302075428529,,,,77.5,83.0,69.0,,,,15,,,,
01:30:00.000+05:30,01:45:00.000+05:30,,13.51302075428529,,,,68.25,69.0,68.0,,,,15,,,,
01:45:00.000+05:30,02:00:00.000+05:30,,13.51302075428529,,,,67.5,70.0,62.0,,,,15,,,,
02:00:00.000+05:30,02:15:00.000+05:30,,13.51302075428529,,,,73.0,82.0,68.0,,,,15,,,,
02:15:00.000+05:30,02:30:00.000+05:30,,13.51302075428529,,,,76.5,80.0,69.0,,,,15,,,,
02:30:00.000+05:30,02:45:00.000+05:30,,13.51302075428529,,,,72.75,82.0,67.0,,,,15,,,,
02:45:00.000+05:30,03:00:00.000+05:30,,13.51302075428529,,,,69.0,71.0,68.0,,,,15,,,,
03:00:00.000+05:30,03:15:00.000+05:30,,13.51302075428529,,,,71.75,79.0,68.0,,,,15,,,,
03:15:00.000+05:30,03:30:00.000+05:30,,13.51302075428529,,,,68.5,69.0,68.0,,,,15,,,,
03:30:00.000+05:30,03:45:00.000+05:30,,13.51302075428529,,,,66.5,68.0,65.0,,,,15,,,,
03:45:00.000+05:30,04:00:00.000+05:30,,13.51302075428529,,,,71.0,75.0,68.0,,,,15,,,,
04:00:00.000+05:30,04:15:00.000+05:30,,13.51302075428529,,,,64.0,69.0,61.0,,,,15,,,,
04:15:00.000+05:30,04:30:00.000+05:30,,13.51302075428529,,,,73.5,83.0,69.0,,,,15,,,,
04:30:00.000+05:30,04:45:00.000+05:30,,13.51302075428529,,,,72.0,74.0,69.0,,,,15,,,,
04:45:00.000+05:30,05:00:00.000+05:30,,13.51302075428529,,,,71.25,73.0,67.0,,,,15,,,,
05:00:00.000+05:30,05:15:00.000+05:30,,13.51302075428529,,,,70.5,71.0,70.0,,,,15,,,,
05:15:00.000+05:30,05:30:00.000+05:30,,13.51302075428529,,,,67.75,68.0,67.0,,,,15,,,,
05:30:00.000+05:30,05:45:00.000+05:30,,13.51302075428529,,,,71.25,75.0,67.0,,,,15,,,,
05:45:00.000+05:30,06:00:00.000+05:30,,13.51302075428529,,,,66.25,69.0,59.0,,,,15,,,,
06:00:00.000+05:30,06:15:00.000+05:30,,13.51302075428529,,,,63.5,68.0,55.0,,,,15,,,,
06:15:00.000+05:30,06:30:00.000+05:30,,13.51302075428529,,,,65.25,66.0,63.0,,,,15,,,,
06:30:00.000+05:30,06:45:00.000+05:30,,13.51302075428529,,,,67.0,68.0,65.0,,,,15,,,,
06:45:00.000+05:30,07:00:00.000+05:30,,13.51302075428529,,,,65.25,66.0,65.0,,,,15,,,,
07:00:00.000+05:30,07:15:00.000+05:30,,13.51302075428529,,,,63.75,66.0,61.0,,,,15,,,,
07:15:00.000+05:30,07:30:00.000+05:30,,13.51302075428529,,,,69.0,73.0,58.0,,,,15,,,,
07:30:00.000+05:30,07:45:00.000+05:30,,13.51302075428529,,,,65.5,68.0,64.0,,,,15,,,,
07:45:00.000+05:30,08:00:00.000+05:30,,13.51302075428529,,,,72.75,92.0,63.0,,,,15,,,,
08:00:00.000+05:30,08:15:00.000+05:30,,13.51302075428529,,,,71.25,89.0,63.0,,,,15,,,,
08:15:00.000+05:30,08:30:00.000+05:30,,13.51302075428529,,,,65.75,68.0,63.0,,,,15,,,,
08:30:00.000+05:30,08:45:00.000+05:30,,13.51302075428529,,,,68.75,74.0,62.0,,,,15,,,,
